sample_index,image_path,true_label,predicted_label,confidence,error_type
0,data/chest_xray/test/NORMAL/IM-0001-0001.jpeg,NORMAL,PNEUMONIA,0.714705765247345,false_positive
1,data/chest_xray/test/NORMAL/IM-0003-0001.jpeg,NORMAL,PNEUMONIA,0.9984480142593384,false_positive
2,data/chest_xray/test/NORMAL/IM-0005-0001.jpeg,NORMAL,PNEUMONIA,0.9930316209793091,false_positive
3,data/chest_xray/test/NORMAL/IM-0006-0001.jpeg,NORMAL,PNEUMONIA,0.9929077625274658,false_positive
4,data/chest_xray/test/NORMAL/IM-0007-0001.jpeg,NORMAL,PNEUMONIA,0.8757874369621277,false_positive
7,data/chest_xray/test/NORMAL/IM-0011-0001-0001.jpeg,NORMAL,PNEUMONIA,0.9954811334609985,false_positive
8,data/chest_xray/test/NORMAL/IM-0011-0001-0002.jpeg,NORMAL,PNEUMONIA,0.9267423152923584,false_positive
9,data/chest_xray/test/NORMAL/IM-0011-0001.jpeg,NORMAL,PNEUMONIA,0.9996594190597534,false_positive
10,data/chest_xray/test/NORMAL/IM-0013-0001.jpeg,NORMAL,PNEUMONIA,0.839745283126831,false_positive
11,data/chest_xray/test/NORMAL/IM-0015-0001.jpeg,NORMAL,PNEUMONIA,0.9999502897262573,false_positive
12,data/chest_xray/test/NORMAL/IM-0016-0001.jpeg,NORMAL,PNEUMONIA,0.7046511173248291,false_positive
13,data/chest_xray/test/NORMAL/IM-0017-0001.jpeg,NORMAL,PNEUMONIA,0.9298282265663147,false_positive
14,data/chest_xray/test/NORMAL/IM-0019-0001.jpeg,NORMAL,PNEUMONIA,0.9985544085502625,false_positive
15,data/chest_xray/test/NORMAL/IM-0021-0001.jpeg,NORMAL,PNEUMONIA,0.9965921640396118,false_positive
16,data/chest_xray/test/NORMAL/IM-0022-0001.jpeg,NORMAL,PNEUMONIA,0.9996907711029053,false_positive
17,data/chest_xray/test/NORMAL/IM-0023-0001.jpeg,NORMAL,PNEUMONIA,0.9642372727394104,false_positive
19,data/chest_xray/test/NORMAL/IM-0027-0001.jpeg,NORMAL,PNEUMONIA,0.8328068852424622,false_positive
20,data/chest_xray/test/NORMAL/IM-0028-0001.jpeg,NORMAL,PNEUMONIA,0.9960263967514038,false_positive
21,data/chest_xray/test/NORMAL/IM-0029-0001.jpeg,NORMAL,PNEUMONIA,0.9960823655128479,false_positive
